Movie_ID,Title,Weighted_Rating,Director(s),Cast,Genres
1873,Sampoorna Ramayana,5.8352167539191395,['Babubhai Mistry'],"['Mahipal', 'Anita Guha', 'Sulochana Latkar']","['Drama, Adventure, Action']"
1874,Mere Hamdam Mere Dost,5.835213686132068,['Amar Kumar'],"['Dharmendra', 'Sharmila Tagore', 'Rehman']","['Musical, Romance, Thriller']"
1875,Humayun,5.835187533522644,['Mehboob Khan'],"['Ashok Kumar', 'Veena', 'Nargis']","['Drama, History']"
1876,Jai Jagannath,5.835130602500471,['Sabyasachi Mohapatra'],"['Sritam Das', 'Brendra N. Gochhikar', 'Sehenawaj Khan']","['Drama, Fantasy, History']"
1877,Veera Parampare,5.835076804007255,['S. Narayan'],"['Ambarish', 'Sudeep', 'Aindrita Ray']","['Drama, Family']"
1878,Lal Salaam,5.835041434159182,['Gaganvihari Borate'],"['Nandita Das', 'Sharad S. Kapoor', 'Makrand Deshpande']","['Musical, Action, Drama']"
1879,Achhut Kanya,5.834947079678264,['Franz Osten'],"['Devika Rani', 'Ashok Kumar', 'Monorama']","['Drama, Musical, Romance']"
1880,Samudram,5.834923985188844,['Krishna Vamsi'],"['Jagapathi Babu', 'Tanikella Bharani', 'Devadas Kanakala']","['Action, Crime, Drama']"
1881,Ek Mahal Ho Sapno Ka,5.8349201105302715,['Devendra Goel'],"['Ashok Kumar', 'Dharmendra', 'Sharmila Tagore']","['Drama, Family']"
1882,Dansh,5.8349201105302715,['Kamika Verma'],"['Kanika Verma', 'Kay Kay Menon', 'Sonali Kulkarni']",['Drama']
1883,VanRakshak,5.834905293163478,['Pawan Kumar Sharma'],"['Dhirendra Thakur', 'Aditya Srivastav', 'Yashpal Sharma']",['Drama']
1884,Ramta Jogi,5.834886452254608,['Guddu Dhanoa'],"['Rahul Dev', 'Zafar Dhillon', 'Anil Grover']",['Romance']
1885,Phir Wohi Dil Laya Hoon,5.834886452254608,['Nasir Hussain'],"['Joy Mukherjee', 'Asha Parekh', 'Rajendranath Malhotra']","['Musical, Romance']"
1886,Itni Si Baat,5.834886452254608,['Madhu M.'],"['Sanjeev Kumar', 'Moushumi Chatterjee', 'Arun Govil']","['Comedy, Family']"
1887,Khan kluay,5.834850417326808,['Kompin Kemgumnird'],"['Tod Polson', 'Akshay Kumar', 'Anyarit Pitakkul']","['Animation, Adventure, Family']"
1888,10ml LOVE,5.8348043370478235,['Sharat Katariya'],"['Neil Bhoopalam', 'Anusha Bose', 'Manu Rishi Chadha']","['Comedy, Drama, Romance']"
1889,Dekh Tamasha Dekh,5.834791031466517,['Feroz Abbas Khan'],"['Satish Kaushik', 'Tanvi Azmi', 'Vinay Jain']",['Comedy']
1890,The Shepherdess and the Seven Songs,5.834776912746955,['Pushpendra Singh'],"['Shahnawaz Bhat', 'Sadakkit Bijran', 'Ranjit Khajuria']",['Drama']
1891,Main Chup Rahungi,5.834732435851084,['A. Bhimsingh'],"['Sunil Dutt', 'Meena Kumari', 'Raj Mehra']","['Drama, Family']"
1892,Hum Hindustani,5.83471911639991,['Ram Mukherjee'],"['Sunil Dutt', 'Joy Mukherjee', 'Asha Parekh']","['Drama, Family']"
1893,Hari Darshan,5.83467177638442,['Chandrakant'],"['Abhi Bhattacharya', 'Satyajeet', 'Jayshree Gadkar']",['Fantasy']
1894,Paapi,5.834607448279559,['O.P. Ralhan'],"['Sunil Dutt', 'Sanjeev Kumar', 'Zeenat Aman']","['Action, Crime, Drama']"
1895,Yatra,5.834576315119994,['Goutam Ghose'],"['Rekha', 'Nana Patekar', 'Deepti Naval']",['Drama']
